"Quarter","Available Private Sector Office Space (Whole Island) ('000 SQ M NETT)","Available Private Sector Office Space in Central Region ('000 SQ M NETT)","Available Private Sector Office Space in Downtown Core Planning Area ('000 SQ M NETT)","Available Private Sector Office Space in Outside Central Region ('000 SQ M NETT)"
"2010Q1","5686","5310","2715","376"
"2010Q2","5719","5342","2711","377"
"2010Q3","5808","5437","2813","371"
"2010Q4","5816","5446","2814","370"
"2011Q1","5874","5499","2876","375"
"2011Q2","5981","5608","2996","373"
"2011Q3","5982","5609","2998","373"
"2011Q4","6008","5636","3018","372"
"2012Q1","6078","5710","3098","368"
"2012Q2","6046","5684","3088","362"
"2012Q3","6017","5657","3084","360"
"2012Q4","6014","5652","3074","362"
"2013Q1","6034","5670","3078","364"
"2013Q2","6015","5650","3058","365"
"2013Q3","6138","5773","3125","365"
"2013Q4","6190","5827","3121","363"
"2014Q1","6206","5816","3121","390"
"2014Q2","6205","5817","3120","388"
"2014Q3","6144","5757","3102","387"
"2014Q4","6283","5867","3167","416"
"2015Q1","6294","5880","3186","414"
"2015Q2","6292","5879","3183","413"
"2015Q3","6288","5877","3181","411"
"2015Q4","6276","5865","3177","411"
"2016Q1","6289","5879","3197","410"
"2016Q2","6313","5902","3215","411"
"2016Q3","6402","5987","3306","415"
"2016Q4","6464","6045","3376","419"
"2017Q1","6494","6029","3372","465"
"2017Q2","6582","6116","3472","466"
"2017Q3","6670","6204","3565","466"
"2017Q4","6672","6202","3564","470"
"2018Q1","6678","6208","3563","470"
"2018Q2","6741","6272","3624","469"
"2018Q3","6769","6302","3625","467"
"2018Q4","6828","6361","3634","467"
"2019Q1","6815","6348","3627","467"
"2019Q2","6820","6353","3640","467"
"2019Q3","6817","6349","3637","468"
"2019Q4","6848","6380","3634","468"
"2020Q1","6884","6368","3714","516"
"2020Q2","6923","6408","3743","515"
"2020Q3","6891","6377","3720","514"
"2020Q4","6876","6366","3719","510"
"2021Q1","6872","6364","3718","508"
"2021Q2","6902","6399","3757","503"
"2021Q3","6921","6418","3776","503"
"2021Q4","6910","6410","3774","500"
"2022Q1","6894","6396","3768","498"
"2022Q2","6847","6349","3704","498"
"2022Q3","6847","6350","3715","497"
"2022Q4","6827","6324","3714","503"
"2023Q1","6833","6339","3751","494"
"2023Q2","6825","6324","3752","501"
"2023Q3","6786","6286","3730","500"
"2023Q4","6789","6291","3729","498"
"2024Q1","6762","6266","3732","496"
"2024Q2","6850","6353","3825","497"
"2024Q3","6887","6392","3842","495"
"2024Q4","6872","6377","3840","495"
"2025Q1","6950","6456","3887","494"
"2025Q2","6929","6436","3872","493"
"2025Q3","6917","6427","3870","490"
"2025Q4","6905","6415","3870","490"
"2026Q1","6913","6412","3869","501"
