"Quarter","Available Public Sector Office Space (Whole Island) ('000 SQ M NETT)","Available Public Sector Office Space in Central Region ('000 SQ M NETT)","Available Public Sector Office Space in Downtown Core Planning Area ('000 SQ M NETT)","Available Public Sector Office Space in Outside Central Region ('000 SQ M NETT)"
"2010Q1","1247","1013","195","234"
"2010Q2","1247","1017","196","230"
"2010Q3","1242","1014","191","228"
"2010Q4","1240","1014","192","226"
"2011Q1","1235","1010","188","225"
"2011Q2","1233","1011","189","222"
"2011Q3","1226","1006","187","220"
"2011Q4","1223","1002","187","221"
"2012Q1","1250","1029","187","221"
"2012Q2","1250","1027","189","223"
"2012Q3","1257","1033","190","224"
"2012Q4","1256","1032","189","224"
"2013Q1","1252","1027","181","225"
"2013Q2","1253","1028","181","225"
"2013Q3","1252","1029","182","223"
"2013Q4","1251","1025","182","226"
"2014Q1","1250","1025","182","225"
"2014Q2","1250","1026","182","224"
"2014Q3","1264","1040","182","224"
"2014Q4","1270","1047","182","223"
"2015Q1","1281","1056","182","225"
"2015Q2","1291","1059","182","232"
"2015Q3","1292","1061","182","231"
"2015Q4","1283","1052","171","231"
"2016Q1","1247","1019","145","228"
"2016Q2","1250","1021","145","229"
"2016Q3","1262","1020","144","242"
"2016Q4","1266","1023","144","243"
"2017Q1","1267","1023","144","244"
"2017Q2","1255","1011","136","244"
"2017Q3","1258","1012","136","246"
"2017Q4","1252","1009","137","243"
"2018Q1","1257","1011","136","246"
"2018Q2","1254","1008","136","246"
"2018Q3","1254","1010","138","244"
"2018Q4","1254","1010","137","244"
"2019Q1","1261","1016","142","245"
"2019Q2","1263","1017","142","246"
"2019Q3","1262","1015","143","247"
"2019Q4","1260","1015","143","245"
"2020Q1","1257","1011","142","246"
"2020Q2","1261","1014","143","247"
"2020Q3","1260","1014","143","246"
"2020Q4","1262","1014","143","248"
"2021Q1","1257","1008","143","249"
"2021Q2","1261","1011","143","250"
"2021Q3","1268","1010","143","258"
"2021Q4","1256","997","142","259"
"2022Q1","1255","998","142","257"
"2022Q2","1258","1001","142","257"
"2022Q3","1256","999","142","257"
"2022Q4","1253","997","143","256"
"2023Q1","1261","1006","142","255"
"2023Q2","1262","1006","142","256"
"2023Q3","1259","1001","142","258"
"2023Q4","1258","1001","143","257"
"2024Q1","1244","986","143","258"
"2024Q2","1243","987","144","256"
"2024Q3","1242","987","144","255"
"2024Q4","1251","981","143","270"
"2025Q1","1271","979","143","292"
"2025Q2","1274","980","143","294"
"2025Q3","1262","986","143","276"
"2025Q4","1267","992","144","275"
"2026Q1","1267","992","144","275"
