"Quarter","Private Sector Office Space under Construction ('000 SQ M GROSS)","Private Sector Office Space under Construction in Downtown Core Planning Area ('000 SQ M GROSS)","Supply of Private Sector Office Space in the Pipeline ('000 SQ M GROSS)","Planned Supply of Public Sector Office Space in the Pipeline in Downtown Core Planning Area ('000 SQ M GROSS)"
"2010Q1","780","666","979","0"
"2010Q2","733","666","1250","0"
"2010Q3","615","542","1166","0"
"2010Q4","607","536","1231","0"
"2011Q1","664","482","1215","0"
"2011Q2","542","325","1154","0"
"2011Q3","531","320","1120","0"
"2011Q4","538","298","1068","0"
"2012Q1","549","230","1139","0"
"2012Q2","648","324","1215","0"
"2012Q3","865","535","1229","0"
"2012Q4","935","612","1239","0"
"2013Q1","942","633","1204","0"
"2013Q2","967","662","1312","0"
"2013Q3","834","595","1171","0"
"2013Q4","763","595","1081","0"
"2014Q1","809","601","1083","0"
"2014Q2","809","609","1164","0"
"2014Q3","935","698","1195","0"
"2014Q4","769","613","1009","0"
"2015Q1","712","561","992","0"
"2015Q2","735","592","1015","0"
"2015Q3","729","592","1043","0"
"2015Q4","702","592","1036","0"
"2016Q1","790","592","1030","0"
"2016Q2","767","563","1008","0"
"2016Q3","715","460","986","0"
"2016Q4","611","376","881","0"
"2017Q1","602","366","924","0"
"2017Q2","478","246","887","9"
"2017Q3","373","139","776","0"
"2017Q4","484","252","759","0"
"2018Q1","612","391","819","0"
"2018Q2","550","334","752","0"
"2018Q3","536","353","704","0"
"2018Q4","544","419","768","0"
"2019Q1","610","435","778","0"
"2019Q2","611","412","739","0"
"2019Q3","617","412","745","0"
"2019Q4","574","412","823","0"
"2020Q1","467","368","627","0"
"2020Q2","399","312","613","0"
"2020Q3","425","338","620","0"
"2020Q4","425","338","620","0"
"2021Q1","411","338","607","0"
"2021Q2","321","250","543","0"
"2021Q3","355","284","612","0"
"2021Q4","352","282","759","0"
"2022Q1","394","326","830","0"
"2022Q2","405","329","806","0"
"2022Q3","396","323","796","0"
"2022Q4","387","323","868","0"
"2023Q1","349","282","834","0"
"2023Q2","413","358","797","0"
"2023Q3","409","353","947","0"
"2023Q4","404","347","938","0"
"2024Q1","473","415","945","0"
"2024Q2","358","303","831","0"
"2024Q3","325","274","728","0"
"2024Q4","359","281","736","0"
"2025Q1","405","262","642","0"
"2025Q2","467","262","657","0"
"2025Q3","476","274","656","0"
"2025Q4","480","274","653","0"
"2026Q1","470","274","654","0"
