"Quarter","Property Price Index of Office Space in Central Area (INDEX)","Property Price Index of Office Space in Central Region (INDEX)","Property Price Index of Office Space in Fringe Area (INDEX)"
"2010Q1","94.7","93.7","84.7"
"2010Q2","99.3","98.0","87.1"
"2010Q3","105.4","104.1","95.2"
"2010Q4","110.5","109.4","100.8"
"2011Q1","115.9","114.8","102.4"
"2011Q2","120.0","118.9","105.9"
"2011Q3","124.5","123.3","110.2"
"2011Q4","125.6","124.5","111.2"
"2012Q1","125.7","124.5","109.8"
"2012Q2","124.5","123.4","113.0"
"2012Q3","126.9","125.8","115.3"
"2012Q4","127.7","126.2","113.4"
"2013Q1","130.5","128.9","119.6"
"2013Q2","132.7","130.8","120.5"
"2013Q3","134.0","132.1","122.0"
"2013Q4","135.8","132.8","121.6"
"2014Q1","135.9","133.5","125.2"
"2014Q2","136.2","133.5","125.1"
"2014Q3","138.5","135.6","125.5"
"2014Q4","141.9","138.8","127.1"
"2015Q1","142.8","138.6","122.7"
"2015Q2","142.9","139.0","123.3"
"2015Q3","143.0","138.8","122.1"
"2015Q4","142.8","138.6","121.5"
"2016Q1","142.6","138.2","119.5"
"2016Q2","138.7","136.1","118.8"
"2016Q3","138.1","135.5","116.7"
"2016Q4","137.2","134.7","115.3"
"2017Q1","130.1","129.3","112.9"
"2017Q2","128.3","127.5","111.4"
"2017Q3","128.9","128.0","111.8"
"2017Q4","133.9","131.4","112.8"
"2018Q1","135.7","133.1","112.3"
"2018Q2","138.5","135.6","113.3"
"2018Q3","138.5","135.7","113.2"
"2018Q4","141.8","138.9","114.5"
"2019Q1","146.3","143.1","114.2"
"2019Q2","147.5","144.4","117.9"
"2019Q3","141.0","138.8","123.9"
"2019Q4","140.9","138.1","120.1"
"2020Q1","135.7","132.6","113.4"
"2020Q2","129.9","126.9","119.2"
"2020Q3","131.2","127.2","114.0"
"2020Q4","125.7","123.3","111.0"
"2021Q1","120.7","120.0","117.4"
"2021Q2","122.0","121.1","114.3"
"2021Q3","117.7","118.2","115.4"
"2021Q4","114.5","116.1","120.2"
"2022Q1","120.5","121.2","121.3"
"2022Q2","114.1","115.0","117.7"
"2022Q3","109.4","111.9","120.8"
"2022Q4","114.9","116.0","117.3"
"2023Q1","114.4","116.0","120.0"
"2023Q2","115.2","117.2","123.0"
"2023Q3","116.1","118.1","122.0"
"2023Q4","108.0","111.1","121.9"
"2024Q1","106.8","109.8","120.2"
"2024Q2","110.0","113.2","124.6"
"2024Q3","110.7","113.9","125.1"
"2024Q4","109.7","113.1","125.9"
"2025Q1","109.0","112.9","129.6"
"2025Q2","107.9","111.7","125.1"
"2025Q3","106.9","111.5","132.9"
"2025Q4","106.4","110.7","128.8"
"2026Q1","106.3","110.9","132.1"
