"Quarter","Public Sector Office Space under Construction ('000 SQ M GROSS)","Public Sector Office Space under Construction in Downtown Core Planning Area ('000 SQ M GROSS)","Supply of Public Sector Office Space in the Pipeline ('000 SQ M GROSS)"
"2010Q1","18","0","51"
"2010Q2","49","0","51"
"2010Q3","49","0","52"
"2010Q4","46","0","49"
"2011Q1","46","0","50"
"2011Q2","46","0","49"
"2011Q3","43","0","46"
"2011Q4","43","0","46"
"2012Q1","15","0","18"
"2012Q2","11","0","14"
"2012Q3","11","0","38"
"2012Q4","35","0","37"
"2013Q1","35","0","49"
"2013Q2","35","0","46"
"2013Q3","37","0","42"
"2013Q4","37","0","42"
"2014Q1","40","0","45"
"2014Q2","51","0","51"
"2014Q3","51","0","52"
"2014Q4","45","0","47"
"2015Q1","34","0","36"
"2015Q2","34","0","37"
"2015Q3","12","0","13"
"2015Q4","13","0","13"
"2016Q1","35","0","35"
"2016Q2","29","0","29"
"2016Q3","7","0","7"
"2016Q4","6","0","6"
"2017Q1","2","0","2"
"2017Q2","2","0","19"
"2017Q3","12","10","19"
"2017Q4","17","9","26"
"2018Q1","24","9","89"
"2018Q2","24","9","89"
"2018Q3","89","9","90"
"2018Q4","88","9","89"
"2019Q1","79","0","80"
"2019Q2","79","0","79"
"2019Q3","79","0","79"
"2019Q4","54","0","95"
"2020Q1","54","0","95"
"2020Q2","54","0","95"
"2020Q3","55","0","170"
"2020Q4","53","0","168"
"2021Q1","54","0","169"
"2021Q2","128","0","169"
"2021Q3","117","0","158"
"2021Q4","117","0","157"
"2022Q1","116","0","157"
"2022Q2","115","0","200"
"2022Q3","155","0","200"
"2022Q4","155","0","200"
"2023Q1","155","0","200"
"2023Q2","155","0","200"
"2023Q3","155","0","200"
"2023Q4","155","0","258"
"2024Q1","147","0","250"
"2024Q2","147","0","250"
"2024Q3","72","0","175"
"2024Q4","65","0","173"
"2025Q1","51","0","214"
"2025Q2","51","0","214"
"2025Q3","51","0","214"
"2025Q4","51","0","214"
"2026Q1","50","0","213"
