"Quarter","Vacancy Rate of Private Sector Office Space (Whole Island) (per cent)","Vacancy Rate of Private Sector Office Space in Central Region (per cent)","Vacancy Rate of Private Sector Office Space in Downtown Core Planning Area (per cent)","Vacancy Rate of Private Sector Office Space in Outside Central Region (per cent)"
"2010Q1","13.7","13.0","14.1","23.4"
"2010Q2","13.5","12.9","13.2","22.0"
"2010Q3","14.5","14.0","15.7","21.8"
"2010Q4","13.3","12.7","13.5","21.1"
"2011Q1","13.4","12.9","14.2","20.0"
"2011Q2","13.7","13.4","16.2","18.5"
"2011Q3","12.8","12.5","14.5","17.2"
"2011Q4","12.5","12.2","13.9","17.7"
"2012Q1","12.7","12.5","14.7","16.6"
"2012Q2","11.8","11.6","13.2","15.2"
"2012Q3","10.5","10.2","11.4","15.6"
"2012Q4","10.3","9.9","11.0","16.0"
"2013Q1","10.0","9.7","10.7","14.3"
"2013Q2","9.5","9.1","9.6","15.3"
"2013Q3","10.4","10.2","10.8","13.7"
"2013Q4","10.8","10.6","9.8","13.8"
"2014Q1","10.9","10.3","9.7","20.0"
"2014Q2","10.6","10.0","9.3","19.8"
"2014Q3","9.1","8.5","8.1","19.1"
"2014Q4","11.2","10.6","10.0","20.4"
"2015Q1","11.1","10.5","10.1","18.6"
"2015Q2","10.5","10.1","9.4","16.7"
"2015Q3","10.3","9.9","8.9","15.6"
"2015Q4","10.1","10.0","8.9","12.2"
"2016Q1","10.0","9.9","8.9","11.7"
"2016Q2","9.9","9.8","9.1","11.7"
"2016Q3","11.2","11.1","11.5","12.3"
"2016Q4","12.1","12.0","12.9","13.6"
"2017Q1","12.7","11.9","12.5","22.4"
"2017Q2","13.6","13.1","14.1","21.2"
"2017Q3","14.5","14.1","15.9","20.0"
"2017Q4","13.7","13.4","14.8","18.7"
"2018Q1","13.7","13.2","14.0","19.1"
"2018Q2","13.4","13.1","13.9","17.3"
"2018Q3","13.0","12.8","13.0","16.5"
"2018Q4","13.2","13.0","12.1","15.8"
"2019Q1","12.7","12.5","11.3","15.6"
"2019Q2","12.4","12.2","11.1","15.4"
"2019Q3","11.4","11.1","9.9","14.5"
"2019Q4","11.4","11.1","9.4","15.2"
"2020Q1","11.8","10.9","9.3","23.3"
"2020Q2","13.1","12.2","10.8","24.5"
"2020Q3","12.8","12.0","10.0","23.7"
"2020Q4","12.7","11.9","10.4","22.7"
"2021Q1","12.9","12.1","11.2","22.8"
"2021Q2","13.6","12.9","13.1","22.5"
"2021Q3","14.0","13.4","13.8","21.7"
"2021Q4","13.8","13.2","14.1","20.6"
"2022Q1","13.8","13.4","14.4","19.5"
"2022Q2","12.9","12.4","12.6","19.5"
"2022Q3","12.6","12.2","12.4","17.5"
"2022Q4","12.2","11.7","12.0","18.3"
"2023Q1","11.9","11.5","12.1","17.2"
"2023Q2","11.3","10.9","11.2","15.6"
"2023Q3","10.4","10.0","9.7","15.8"
"2023Q4","10.3","10.0","9.4","14.7"
"2024Q1","10.1","9.9","9.4","12.5"
"2024Q2","11.4","11.2","11.0","14.3"
"2024Q3","11.6","11.4","10.6","13.5"
"2024Q4","11.1","10.9","9.8","14.1"
"2025Q1","12.5","12.3","11.4","14.4"
"2025Q2","11.9","11.7","10.5","13.8"
"2025Q3","11.5","11.4","9.8","12.9"
"2025Q4","11.3","11.0","9.6","15.3"
"2026Q1","10.9","10.6","9.1","14.6"
