"Quarter","Vacant Private Sector Office Space (Whole Island) ('000 SQ M NETT)","Vacant Private Sector Office Space in Downtown Core Planning Area ('000 SQ M NETT)","Vacant Public Sector Office Space (Whole Island) ('000 SQ M NETT)","Vacant Public Sector Office Space in Downtown Core Planning Area ('000 SQ M NETT)"
"2010Q1","779","384","85","23"
"2010Q2","771","359","89","23"
"2010Q3","841","443","79","17"
"2010Q4","771","380","85","22"
"2011Q1","785","407","74","13"
"2011Q2","819","485","83","12"
"2011Q3","766","436","78","11"
"2011Q4","753","420","64","12"
"2012Q1","772","455","89","15"
"2012Q2","716","408","80","18"
"2012Q3","631","352","72","18"
"2012Q4","619","339","63","19"
"2013Q1","601","329","72","19"
"2013Q2","571","294","65","16"
"2013Q3","641","338","71","17"
"2013Q4","666","306","67","19"
"2014Q1","676","302","66","20"
"2014Q2","657","289","62","18"
"2014Q3","562","252","60","15"
"2014Q4","704","318","69","26"
"2015Q1","696","323","80","25"
"2015Q2","663","299","83","20"
"2015Q3","646","282","82","21"
"2015Q4","634","284","83","22"
"2016Q1","628","283","65","13"
"2016Q2","628","293","62","14"
"2016Q3","717","379","79","12"
"2016Q4","783","434","78","13"
"2017Q1","822","423","76","12"
"2017Q2","898","489","75","8"
"2017Q3","968","568","86","9"
"2017Q4","917","526","78","8"
"2018Q1","912","498","80","8"
"2018Q2","900","504","78","8"
"2018Q3","881","470","80","7"
"2018Q4","900","439","81","8"
"2019Q1","867","409","89","15"
"2019Q2","844","404","84","13"
"2019Q3","775","360","78","14"
"2019Q4","778","342","74","10"
"2020Q1","814","346","78","11"
"2020Q2","907","405","83","10"
"2020Q3","885","372","91","9"
"2020Q4","871","388","90","8"
"2021Q1","884","417","87","7"
"2021Q2","939","491","89","7"
"2021Q3","967","521","92","7"
"2021Q4","952","533","94","6"
"2022Q1","952","543","90","7"
"2022Q2","882","466","92","9"
"2022Q3","863","462","85","7"
"2022Q4","831","446","85","7"
"2023Q1","814","454","95","8"
"2023Q2","770","421","102","9"
"2023Q3","708","361","99","10"
"2023Q4","700","352","100","9"
"2024Q1","680","351","88","11"
"2024Q2","784","419","91","13"
"2024Q3","798","409","96","17"
"2024Q4","764","377","101","15"
"2025Q1","866","444","98","7"
"2025Q2","823","408","114","6"
"2025Q3","797","381","115","11"
"2025Q4","783","370","122","14"
"2026Q1","753","353","134","19"
