month,seasonally_adjusted_unemployment_rate,seasonally_adjusted_unemployment_number
2020-04,2.6,97600
2020-05,2.8,103200
2020-06,3,109600
2020-07,3.1,116400
2020-08,3.4,125300
2020-09,3.4,124000
2020-10,3.5,128300
2020-11,3.4,122100
2020-12,3.2,114700
2021-01,3.1,112900
2021-02,3,108000
2021-03,2.9,104700
2021-04,2.8,101400
2021-05,2.8,99800
2021-06,2.7,97400
2021-07,2.8,99100
2021-08,2.8,100800
2021-09,2.6,92400
2021-10,2.6,91200
2021-11,2.6,92800
2021-12,2.4,87000
2022-01,2.3,83700
2022-02,2.3,84900
2022-03,2.2,82500
2022-04,2.2,81400
2022-05,2.2,82700
2022-06,2.1,77200
2022-07,2,76400
2022-08,2,74400
2022-09,2.1,79400
2022-10,2,77300
2022-11,1.9,73800
2022-12,2,76400
2023-01,1.8,71100
2023-02,1.8,69800
2023-03,1.8,69100
2023-04,1.8,70900
2023-05,1.9,73700
2023-06,2,77000
2023-07,2,79000
2023-08,2,79700
2023-09,2,78900
2023-10,1.9,76500
2023-11,2,78900
2023-12,2,78600
2024-01,2,78900
2024-02,2,78000
2024-03,2,80900
2024-04,2,81100
2024-05,2.1,83000
2024-06,2,78300
2024-07,1.8,73300
2024-08,1.9,77600
2024-09,1.9,75000
2024-10,1.9,77500
2024-11,2,80000
2024-12,1.9,77100
2025-01,2,80000
2025-02,2,81300
2025-03,2,79900
2025-04,2,79100
2025-05,1.9,78100
2025-06,2,81900
2025-07,2,79900
2025-08,2,78900
2025-09,2,80600
2025-10,2,81400
2025-11,2,81200
2025-12,2,82500
2026-01,2,81200
2026-02,2,80100
2026-03,2,83700
2026-04,2,82400
2026-05,2,80700
