month,residential_status,seasonally_adjusted_unemployed,non-seasonally_adjusted_unemployed
1992-03,overall,31600,26300
1992-06,overall,31100,41500
1992-09,overall,34900,28400
1992-12,overall,28400,28700
1993-03,overall,26300,21800
1993-06,overall,31200,41600
1993-09,overall,32900,26500
1993-12,overall,29700,30200
1994-03,overall,30700,26200
1994-06,overall,30900,41000
1994-09,overall,33300,25500
1994-12,overall,34000,35700
1995-03,overall,32100,27600
1995-06,overall,35600,47200
1995-09,overall,31300,23300
1995-12,overall,33100,34800
1996-03,overall,36300,31000
1996-06,overall,36800,48500
1996-09,overall,30300,23200
1996-12,overall,31700,33200
1997-03,overall,29700,25500
1997-06,overall,30600,40200
1997-09,overall,29200,22500
1997-12,overall,33500,35200
1998-03,overall,37100,31800
1998-06,overall,41300,54100
1998-09,overall,72400,56500
1998-12,overall,73900,78000
1999-03,overall,68400,58600
1999-06,overall,61700,79400
1999-09,overall,65800,52900
1999-12,overall,53600,56800
2000-03,overall,61500,52600
2000-06,overall,77500,97500
2000-09,overall,45500,37200
2000-12,overall,51700,54900
2001-03,overall,44000,37400
2001-06,overall,51000,63200
2001-09,overall,67800,56700
2001-12,overall,86500,92300
2002-03,overall,83700,71200
2002-06,overall,79600,97400
2002-09,overall,84500,72400
2002-12,overall,85700,90400
2003-03,overall,87800,75100
2003-06,overall,85000,104200
2003-09,overall,113100,98200
2003-12,overall,92100,95500
2004-03,overall,87800,76200
2004-06,overall,84300,103800
2004-09,overall,71100,61700
2004-12,overall,77800,78500
2005-03,overall,78200,69100
2005-06,overall,80400,100500
2005-09,overall,82900,71500
2005-12,overall,67600,66100
2006-03,overall,62700,56900
2006-06,overall,70200,88300
2006-09,overall,73600,63400
2006-12,overall,74200,70200
2007-03,overall,73300,67800
2007-06,overall,62900,79700
2007-09,overall,48800,41600
2007-12,overall,49200,45900
2008-03,overall,53100,50800
2008-06,overall,64500,81800
2008-09,overall,68400,57800
2008-12,overall,81600,74100
2009-03,overall,96200,92300
2009-06,overall,97200,124100
2009-09,overall,102100,87500
2009-12,overall,71200,63700
2010-03,overall,69400,66600
2010-06,overall,68900,88800
2010-09,overall,67800,58500
2010-12,overall,71300,63700
2011-03,overall,62100,58200
2011-06,overall,66000,87400
2011-09,overall,67800,57700
2011-12,overall,69300,61400
2012-03,overall,69000,64600
2012-06,overall,65800,87100
2012-09,overall,66100,56500
2012-12,overall,63500,55600
2013-03,overall,65700,62000
2013-06,overall,67900,90700
2013-09,overall,63300,54200
2013-12,overall,66000,56600
2014-03,overall,72300,68400
2014-06,overall,67900,90700
2014-09,overall,70200,60700
2014-12,overall,70500,59400
2015-03,overall,66700,63200
2015-06,overall,71000,94600
2015-09,overall,70600,61500
2015-12,overall,69500,59100
2016-03,overall,68100,65100
2016-06,overall,77600,102800
2016-09,overall,76700,67300
2016-12,overall,80500,69100
2017-03,overall,83000,77700
2017-06,overall,81000,106900
2017-09,overall,77300,68100
2017-12,overall,76000,65900
2018-03,overall,75200,69400
2018-06,overall,76300,100200
2018-09,overall,76200,68600
2018-12,overall,81600,71600
2019-03,overall,82700,74700
2019-06,overall,85000,110800
2019-09,overall,81200,74700
2019-12,overall,84500,74700
2020-03,overall,92600,82700
2020-06,overall,109600,139900
2020-09,overall,124000,117100
2020-12,overall,114700,102000
2021-03,overall,104700,93100
2021-06,overall,97400,124100
2021-09,overall,92400,88500
2021-12,overall,87000,76700
2022-03,overall,82500,73300
2022-06,overall,77200,98000
2022-09,overall,79400,76700
2022-12,overall,76400,67600
2023-03,overall,69100,61800
2023-06,overall,77000,96000
2023-09,overall,78900,76100
2023-12,overall,78600,70000
2024-03,overall,80900,74000
2024-06,overall,78300,95900
2024-09,overall,75000,72000
2024-12,overall,77100,69000
2025-03,overall,79900,73500
2025-06,overall,81900,98800
2025-09,overall,80600,77200
2025-12,overall,82500,74500
2026-03,overall,83700,77600
